Event,Node,Arrival,Mode
0,7,198.50027085255726,1
1,7,198.50027085255726,None
1,25,198.60790918691538,None
1,6,198.74079658111378,None
1,16,198.74140609286843,None
1,25,198.83187077944572,None
1,40,198.8764570150558,None
1,40,198.88612356712014,None
1,6,198.89559585676693,None
1,16,198.9583012266157,None
1,38,198.9962928370784,None
1,7,199.02589796854056,None
1,42,199.07638606474487,None
1,40,199.07700977897767,None
1,34,199.12269392271554,None
1,32,199.1477166298209,None
1,25,199.187850018077,None
1,32,199.21910446863748,None
1,25,199.2279229286294,None
1,16,199.24388387407865,None
1,34,199.32433434447933,None
1,6,199.33060639219153,None
1,6,199.33149942173807,None
1,7,199.3644933015501,None
1,25,199.40652218565074,None
1,17,199.4127213797641,None
1,32,199.46162397488675,None
1,20,199.46722981251276,None
1,4,199.54412873867167,None
1,40,199.55877371972358,None
1,17,199.5883819801798,None
1,38,199.631298696813,None
1,6,199.64706192456222,None
1,4,199.66359180881108,None
1,16,199.7049504833188,None
1,38,199.7261171218261,None
1,17,199.75557187488926,None
1,16,199.81937506853828,None
1,4,199.89217749877253,None
1,42,199.9331293101234,None
1,32,199.9443561905746,None
1,38,199.94820920857623,None
1,32,200.01259718211023,None
1,35,200.0132449757641,None
1,6,200.02319436114803,None
1,7,200.02512463143987,None
1,20,200.1424255119963,None
1,34,200.21093341731145,None
1,16,200.22946083738591,None
1,25,200.25842397405629,None
1,16,200.34238226192565,None
1,25,200.3426832723052,None
1,17,200.40013591891102,None
1,42,200.44090998826712,None
1,7,200.44480839553657,None
1,38,200.46471659107894,None
1,17,200.4816755172038,None
1,35,200.5386415373226,None
1,42,200.54700608441524,None
1,16,200.56936554038808,None
1,35,200.5910230012509,None
1,32,200.61090702141757,None
1,4,200.627996460094,None
1,32,200.63937613774343,None
1,7,200.64172221412645,None
1,20,200.65754795311904,None
1,40,200.6638049041225,None
1,32,200.72978962041773,None
1,34,200.74587460552937,None
1,17,200.76250387238903,None
1,25,200.82060638956065,None
1,35,200.8382627826126,None
1,35,200.86335522441286,None
1,34,200.87431098980426,None
1,4,200.8950571112808,None
1,16,200.91241484074567,None
1,34,201.04270598524337,None
1,32,201.04931480387253,None
1,20,201.0631093710416,None
1,40,201.14732283081239,None
1,40,201.2565397173954,None
1,38,201.2874168295122,None
1,7,201.29341102345342,None
1,16,201.3069966362468,None
1,25,201.43618322547093,None
1,42,201.4587995408673,None
1,35,201.47712618066248,None
1,40,201.4900635891034,None
1,42,201.5742558120611,None
1,7,201.60332758572008,None
1,16,201.60691182981634,None
1,20,201.71881814065884,None
1,40,201.72405401064444,None
1,17,201.73080860424426,None
1,16,201.73291041454954,None
1,32,201.76128630826852,None
1,40,201.7844469990055,None
1,7,201.80758632677504,None
1,40,201.8300473800287,None
1,20,201.83392217317652,None
1,25,201.87699095739578,None
1,20,201.8860692989799,None
1,34,201.92408045179997,None
1,25,201.9304179309089,None
1,42,202.06947063587182,None
1,42,202.1064424131691,None
1,42,202.1193644527049,None
1,40,202.19534384925126,None
1,32,202.21271717556206,None
1,35,202.22177304776034,None
1,34,202.2481785811623,None
1,4,202.28183931696952,None
1,16,202.28898997324364,None
1,7,202.30311684427178,None
1,7,202.33080036399753,None
1,40,202.44464692884608,None
1,42,202.46635059771214,None
1,16,202.47370862240436,None
1,34,202.49551777673418,None
1,4,202.5630830966151,None
1,16,202.56317962049118,None
1,25,202.5762509588875,None
1,4,202.58773126242255,None
1,35,202.6818723936234,None
1,7,202.69440489410104,None
1,34,202.83727381540947,None
1,40,202.89347088142813,None
1,34,202.90515091629393,None
1,35,202.96749743574415,None
1,25,202.9712955178761,None
1,16,203.04312646736685,None
1,6,203.06866942010572,None
1,32,203.08268623157912,None
1,32,203.13692910789177,None
0,35,203.20611573491595,0
0,2,206.146013858748,1
1,2,206.146013858748,None
1,2,206.8650494784667,None
1,2,207.66552938517788,None
1,2,207.93418961713954,None
1,2,208.22509187277112,None
1,2,208.26302339863892,None
1,2,208.7252807141774,None
1,2,208.85575773197033,None
1,2,209.12407800431077,None
1,2,210.30338095807022,None
1,2,210.8118899235721,None
0,44,211.12760280469183,1
1,44,211.12760280469183,None
1,2,211.22805493396112,None
1,2,211.35692438345626,None
1,44,211.80278346448958,None
1,2,211.85168285419752,None
1,44,211.8657822242853,None
1,2,211.97619644820637,None
1,44,212.28174203639574,None
1,44,212.65652937727,None
1,2,212.9356482149206,None
1,44,213.08121522671942,None
1,44,213.6782575218089,None
1,44,213.7632770720966,None
1,2,213.8702363526404,None
1,2,213.8910149806711,None
1,2,213.8923155250487,None
1,44,213.9627083435236,None
1,44,213.9776256113506,None
1,2,214.28239283088035,None
1,2,214.62545453144122,None
1,44,215.09357675715856,None
1,2,215.20912432647475,None
1,2,215.30273052238437,None
1,44,215.67367782784623,None
1,44,215.75871509466822,None
1,2,215.77374286919508,None
1,2,216.02437568685656,None
1,2,216.23151877726815,None
1,2,216.34226301369418,None
1,44,216.6384930991544,None
1,44,216.89556673549944,None
1,2,217.36160642526943,None
1,2,218.21194549714713,None
1,2,219.44248640701045,None
1,2,219.5349379955739,None
1,44,219.57250029700242,None
1,2,219.64171773241142,None
1,44,219.69283326777588,None
1,2,219.98858701563753,None
1,2,220.24649313046172,None
1,2,220.57302444831603,None
1,44,220.92984313578296,None
1,2,221.02215349728678,None
1,2,221.5675187933966,None
1,2,221.73409289610325,None
1,44,222.08078299542686,None
1,44,222.54418775238793,None
1,2,222.82789505053879,None
1,44,222.96011581909153,None
1,2,223.2206749905883,None
1,2,223.41348635509686,None
1,2,224.29109370828388,None
1,44,224.33860036917557,None
1,44,224.38186149926494,None
0,20,224.8483053252757,0
0,32,226.3261899590393,0
0,38,230.21135757730545,0
0,45,233.38177150285568,1
1,45,233.38177150285568,None
1,45,233.67213491404445,None
1,45,233.6724780774601,None
1,45,233.70917854600205,None
1,45,233.86979383612027,None
1,45,234.9294437102036,None
1,45,236.0968170233227,None
1,45,237.28474626713034,None
1,45,237.95918319281407,None
0,21,238.1035600508977,1
1,21,238.1035600508977,None
1,45,238.13862122586272,None
1,45,238.82942707651102,None
1,21,238.97413893406488,None
1,21,239.41606505005035,None
1,21,239.49989213752673,None
1,45,239.65668991677484,None
1,45,240.04413007564594,None
0,34,240.1100437637836,0
0,3,245.64004608834932,1
1,3,245.64004608834932,None
0,42,245.71990956847338,0
0,10,247.15155385724128,1
1,10,247.15155385724128,None
1,3,247.2806199755562,None
1,3,247.69336653537093,None
1,10,247.9406865977754,None
1,3,248.2124537731332,None
1,10,248.23116290381822,None
1,3,248.37859801286464,None
0,18,248.5652195436148,1
1,18,248.5652195436148,None
1,18,249.07125126982424,None
1,10,249.12323695249225,None
1,10,249.14535705904424,None
1,3,249.43500296581232,None
1,18,249.503139700699,None
1,18,249.61609836850104,None
1,3,249.97214890569538,None
1,10,250.00807224810404,None
1,3,250.0402024706888,None
1,18,250.0464302978049,None
1,18,250.0702598627292,None
1,3,250.2725262136016,None
1,3,250.53061942920485,None
1,3,250.68631544981017,None
1,18,251.1297362616108,None
1,10,251.1413496999708,None
1,18,251.2209769530952,None
0,31,251.25933360832087,1
1,31,251.25933360832087,None
1,31,251.2753037790611,None
1,31,251.34161927331158,None
1,3,251.40858078626223,None
1,10,251.45974022282712,None
1,31,251.63374918368018,None
1,10,251.98289305705694,None
1,18,252.24467335885848,None
1,31,252.3031732020846,None
1,10,252.58624173635357,None
1,31,252.59420015954106,None
1,18,252.65238323435392,None
1,10,252.91424963386032,None
1,3,253.01574292996438,None
1,3,253.22850032784316,None
1,10,253.31578585979992,None
1,10,253.33471015317255,None
1,18,253.39838104362045,None
1,31,253.86707201224417,None
1,10,253.9585036443065,None
1,18,254.03893445128455,None
1,3,254.04579693264034,None
1,18,254.21331833286425,None
1,10,254.52965434095898,None
